title,story_points,state,type,priority,board_id,sprint_id,issue_id
als besteller wil ik extra producten kunnen toevoegen aan mijn maaltijdenbestelling zodat ik ook dingen kan bestellen die niet maaltijd gerelateerd zijn,8.0,closed,Story,Normal,1,1,116285
als besteller wil ik mijn maaltijdbestelling plaatsen zodat deze verwerkt kan worden,5.0,closed,Story,Normal,1,1,111916
als developer wil ik de bijzonder leverdagen feestdagen ophalen uit zmbx zodat ik deze kan gebruiken voor de weergave van bestelconsumptiedagen,5.0,closed,Story,Normal,1,1,116348
als gebruiker wil ik een overzicht van de leverdagen tbv maaltijdenbestel zodat ik weet ik nog kan bestellen,8.0,closed,Story,Normal,1,1,112044
als medewerker wil ik dat een cyclus niet zonder bewuste melding aangepast kan worden als er een bestelling voor geplaatst zodat er geen fouten gemaakt kunnen worden klantenorders,5.0,closed,Story,Normal,1,1,108059
als medewerker wil ik alleen ontvangers binnen maaltijdbeheer hebben die daar toegang toe hebben zodat ik geen overbodige data heb,2.0,closed,Verbetering,Normal,1,1,112801
als medewerker wil gemakkelijk meerdere eetgemak skus kunnen importeren zodat ik dit niet per product hoef te doen,5.0,closed,Verbetering,Normal,1,1,113345
als ontvanger wil ik graag het menu uitprinten zodat ik deze kan achterlaten bij clienten,5.0,closed,Verbetering,Normal,1,1,105026
als besteller wil ik bij het maaltijdenoverzicht een empty state zien als een ontvanger geen cyclus heeft zodat ik weet dat het administratief ergens niet klopt,2.0,closed,Story,Normal,1,1,118532
als medewerker wil ik bij een ontvanger aan kunnen geven welke diten deze kan bestellen zodat er geen overbodige informatie naar voren komt de front end,8.0,closed,Story,Normal,1,1,98147
productgroepcodes zoals vastgesteld zijn de pim de maaltijdbeheer database invoeren,1.0,closed,Taak,Normal,1,1,118495
als medewerker wil ik een productrecept kunnen koppelen aan een product zodat bestellers die de kookmodule aan hebben staan kunnen bestellen,3.0,closed,Story,Normal,1,1,118453
als medewerker wil ik dat klanten alleen toegang krijgen tot de modules die opgenomen zijn het contract zodat klanten niet ongewenst gebruik maken van de diensten van zorgboodschap,8.0,closed,Story,Normal,1,1,118436
als gebruiker wil ik bij een wichtartikel de juiste prijs berekend zien op basis van de kiloprijs zodat ik weet welke prijs ik moet betalen,5.0,closed,Story,Normal,1,1,118433
als zorgboodschap wil ik een melding krijgen wanneer een oci xml order incorrecte gegevens bevat zodat ik hier vervolgacties kan bepalen,3.0,closed,Story,Normal,1,1,115814
als zorgboodschap wil ik dat order regels na een prijswijziging doorgestuurd worden naar zbmx zodat de juiste prijs gefactuurd wordt,1.0,closed,Story,Normal,1,1,114685
als developer wil ik de slk orderlines versturen naar zbmx zodat de kosten worden meegenomen de totaalprijs,8.0,closed,Story,Normal,1,1,114304
als developer wil ik verzoeken tot het verwijderen van orders door geven aan zbmx zodat een verwijderde order niet meer verwerkt wordt,3.0,closed,Story,Normal,1,1,113745
als gebruiker wil ik consumentprijzen kunnen zien zodat ik deze kan hanteren bij het doorverkopen van producten,8.0,closed,Verbetering,Normal,1,1,117210
als gebruiker wil ik orders die ik buiten het platform via zbmx om heb besteld ook meegenomen hebben mijn orderoverzicht budget,5.0,closed,Story,Normal,1,1,108616
als zorgboodschap wil ik kunnen stellen als een product beperkt op voorraad zodat er geen mancos ontstaan door teveel bestellingen,3.0,closed,Story,Normal,1,1,101662
als gebruiker wil ik zien binnen welke categorieen ik mij bevind zodat ik gemakkelijk kan navigeren,3.0,closed,Story,Normal,1,1,116698
als gebruiker wil ik dat er bij vast portiegewicht productitem de kiloprijs wordt getoond de webshop zodat ik weet wat ik per kilo betaal,2.0,closed,Story,Normal,1,1,115002
als zorgboodschap wil ik voorkomen dat een besteller te weinig bestelt van een artikel met een minimale afname zodat wij geen problemen krijgen met de leverancier,5.0,closed,Story,Normal,1,1,105895
als zorgboodschap willen wij kunnen managen welke producten hoger komen de search adhv productnaam zodat wij de search kunnen beinvloeden,8.0,closed,Story,Normal,1,1,102101
productcategorie afbeeldingen en teksten zijn te klein en daardoor onduidelijk,1.0,closed,Verbetering,Normal,1,1,113167
ketentest actiepunt pim verpakking verwerken en huidige verpakking vervangen door deze data,3.0,closed,Verbetering,Normal,1,1,117399
als zorgboodschap wil ik de producten binnen campagnes kunnen sorteren zodat ik prioriteit kan geven aan deze campagnes,8.0,closed,Verbetering,Normal,1,1,117199
indicatie dat bestelartikel te bestellen op andere dag,5.0,closed,Verbetering,Normal,1,1,114113
als medewerker wil ik een filter hebben mijn organisatiebeheer zodat ik makkelijker kan zoeken en navigeren,5.0,closed,Verbetering,Normal,1,1,118270
bij een bestelling die behandeling mist de onboarding tool,1.0,closed,Verbetering,Normal,1,1,113549
als medewerker wil ik alle bewerkopties binnen cyclibeheer centraal hebben zodat ik makkelijk kan navigeren mijn opties,3.0,closed,Verbetering,Normal,1,1,118269
de categorie filter de zoekfunctie bevat nu ook subcategorien dit wordt te uitgebreid,1.0,closed,Verbetering,Normal,1,1,113472
als medewerker wil ik bij cyclus samenstellen bij 3vaks borden het zb artikelnummer zien zodat ik deze kan checken met de bron cyclus uit excel,2.0,closed,Verbetering,Normal,1,1,118268
wanneer je een product zoekt met de zoekfunctie missen de filters,8.0,closed,Verbetering,Normal,1,1,113474
als medewerken wil ik bij het cyclusoverzicht meerdere menus 1 keer kunnen verwijderen zodat dit niet 1 voor 1 hoeft te gebeuren,3.0,closed,Verbetering,Normal,1,1,118265
